repName	noOfTotalContributions	topContributor	noOfTopContributions	2ndContr	noOf2ndContr
Wikipedia-Language-Olga-master	79	zagovora	79	/	/
mlkoblenz	4	ckling	2	/	/
wiki_history	3	llvll0hsen	3	/	/
promoss	48	ckling	48	/	/
image-gender-inference	28	sVujke	24	frbkrm	4
orc	107	bitnik	107	/	/
Wikipedia-Politician-Network	156	sVujke	156	/	/
jhub_shibboleth_auth	85	bitnik	85	/	/
scientists-analysis-wikipedia	24	zagovora	24	/	/
scientists-analysis	94	tsennikova	94	/	/
PythonDataScienceHandbook	196	jakevdp	169	bitnik	1
binderhub	763	minrk	324	freeman-lab	3
workshop_girls_day	15	sVujke	11	bitnik	4
repo2docker	569	yuvipanda	246	rprimet	7
ptm	45	arnim	40	bitnik	5
wiki-download-parse-page-views	11	sVujke	11	/	/
kubespawner	373	yuvipanda	180	willingc	32
jupyterhub	2138	minrk	1297	ankitml	13
GitHub_traffic_crawler	7	RadomirPopovicFON	7	/	/
introduction_networkx	12	haikolietz	7	arnim	5
wikiwho_interactions	4	wikiwho	2	/	/
Homophilic-Ntw-Viz	1	neuronphysics	1	/	/
flow	9	haikolietz	9	/	/
zero-to-jupyterhub-k8s	1667	yuvipanda	569	AlexMorreale	14
Social-Network-Analysis-in-R	33	JuKo007	33	/	/
binder-stats	8	choldgraf	6	arnim	2
binder	86	choldgraf	50	gitter-badger	2
