	Repository_name	referrer	count	uniques
0	binderhub_referrers	github.com	33	15
0	flow_referrers	github.com	6	2
0	GitHub_traffic_crawler_referrers	github.com	135	9
0	Hierarchical_nested_SBM_referrers	Google	1	1
1	Hierarchical_nested_SBM_referrers	github.com	109	15
0	Homophilic-Ntw-Viz_referrers	github.com	5	1
0	image-gender-inference_referrers	Google	3	3
1	image-gender-inference_referrers	github.com	13	6
2	image-gender-inference_referrers	researchcode.com	1	1
0	introduction_networkx_referrers	github.com	20	7
0	jhub_shibboleth_auth_referrers	Google	23	6
1	jhub_shibboleth_auth_referrers	github.com	70	22
2	jhub_shibboleth_auth_referrers	jupyterhub.readthedocs.io	46	16
0	jupyterhub_referrers	github.com	1	1
0	kubespawner_referrers	github.com	10	6
0	orc_referrers	Google	2	2
1	orc_referrers	binderhub.readthedocs.io	89	45
2	orc_referrers	github.com	85	14
3	orc_referrers	ilcm.informatik.uni-leipzig.de	2	2
4	orc_referrers	notebooks.gesis.org	17	5
0	promoss_referrers	Google	2	1
1	promoss_referrers	github.com	8	4
2	promoss_referrers	topicmodels.info	24	5
0	ptm_referrers	Google	10	2
1	ptm_referrers	github.com	8	4
2	ptm_referrers	l.facebook.com	4	1
3	ptm_referrers	nbviewer.jupyter.org	4	1
0	PythonDataScienceHandbook_referrers	github.com	11	6
1	PythonDataScienceHandbook_referrers	notebooks.gesis.org	24	6
0	repo2docker_referrers	github.com	2	2
0	scientists-analysis_referrers	github.com	12	2
0	scientists-analysis-wikipedia_referrers	Google	2	2
1	scientists-analysis-wikipedia_referrers	github.com	2	2
0	WebApp_referrers	github.com	5	1
0	wiki-download-parse-page-views_referrers	Google	16	14
1	wiki-download-parse-page-views_referrers	github.com	16	4
0	WikiConflict_referrers	github.com	7	3
0	Wikipedia-Language-Olga-master_referrers	Google	45	44
1	Wikipedia-Language-Olga-master_referrers	iframe-toloka.com	29	22
2	Wikipedia-Language-Olga-master_referrers	search.xfinity.com	1	1
3	Wikipedia-Language-Olga-master_referrers	vipsearch.top	1	1
0	Wikipedia-Politician-Network_referrers	Google	2	1
1	Wikipedia-Politician-Network_referrers	github.com	50	9
0	wikiwho_interactions_referrers	github.com	10	2
0	wiki_history_referrers	github.com	2	2
0	workshop_girls_day_referrers	Google	18	14
1	workshop_girls_day_referrers	github.com	6	2
2	workshop_girls_day_referrers	notebooks.gesis.org	17	6
