	Repository_name	referrer	count	uniques
0	binderhub_referrers	github.com	63	22
0	flow_referrers	github.com	26	5
0	GitHub_traffic_crawler_referrers	github.com	234	14
0	Hierarchical_nested_SBM_referrers	Google	1	1
1	Hierarchical_nested_SBM_referrers	github.com	109	15
0	Homophilic-Ntw-Viz_referrers	github.com	9	2
0	image-gender-inference_referrers	Google	4	4
1	image-gender-inference_referrers	github.com	15	7
2	image-gender-inference_referrers	researchcode.com	1	1
0	introduction_networkx_referrers	github.com	22	8
0	jhub_shibboleth_auth_referrers	Google	27	7
1	jhub_shibboleth_auth_referrers	github.com	83	29
2	jhub_shibboleth_auth_referrers	jupyterhub.readthedocs.io	71	28
3	jhub_shibboleth_auth_referrers	pypi.org	4	1
0	jupyterhub_referrers	github.com	6	4
0	kubespawner_referrers	github.com	13	7
0	mlkoblenz_referrers	github.com	4	1
0	orc_referrers	Google	5	5
1	orc_referrers	binderhub.readthedocs.io	132	65
2	orc_referrers	github.com	111	20
3	orc_referrers	ilcm.informatik.uni-leipzig.de	2	2
4	orc_referrers	notebooks.gesis.org	18	6
0	promoss_referrers	Google	2	1
1	promoss_referrers	github.com	11	5
2	promoss_referrers	topicmodels.info	24	5
0	ptm_referrers	Google	12	3
1	ptm_referrers	github.com	11	5
2	ptm_referrers	l.facebook.com	4	1
3	ptm_referrers	nbviewer.jupyter.org	4	1
0	PythonDataScienceHandbook_referrers	github.com	12	7
1	PythonDataScienceHandbook_referrers	notebooks.gesis.org	36	10
0	repo2docker_referrers	github.com	2	2
0	scientists-analysis_referrers	github.com	12	2
0	scientists-analysis-wikipedia_referrers	Google	2	2
1	scientists-analysis-wikipedia_referrers	github.com	5	3
0	WebApp_referrers	github.com	5	1
0	wiki-download-parse-page-views_referrers	Google	35	27
1	wiki-download-parse-page-views_referrers	github.com	18	5
0	WikiConflict_referrers	github.com	7	3
0	Wikipedia-Language-Olga-master_referrers	Google	65	64
1	Wikipedia-Language-Olga-master_referrers	github.com	3	1
2	Wikipedia-Language-Olga-master_referrers	iframe-toloka.com	53	39
3	Wikipedia-Language-Olga-master_referrers	int.search.myway.com	4	4
4	Wikipedia-Language-Olga-master_referrers	search.xfinity.com	1	1
5	Wikipedia-Language-Olga-master_referrers	suche.web.de	1	1
6	Wikipedia-Language-Olga-master_referrers	vipsearch.top	1	1
0	Wikipedia-Politician-Network_referrers	Google	4	2
1	Wikipedia-Politician-Network_referrers	github.com	59	11
0	wikiwho_interactions_referrers	github.com	11	3
0	wiki_history_referrers	github.com	2	2
0	workshop_girls_day_referrers	Google	46	37
1	workshop_girls_day_referrers	github.com	7	3
2	workshop_girls_day_referrers	notebooks.gesis.org	19	8
0	zero-to-jupyterhub-k8s_referrers	github.com	5	2
